uid,nhits,clinsub,eta,infclr,infnon,infsub,k_dxA0,k_infA0,k_mortA0,k_progA0,kappa,lambda,multiplier,muTB,nonrec,nonsub,p,r,relnon,relsub,subclin,subnon
9e284be111225367277d085740329076,14,0.603162492,0.854280526,0.977182007,0.218837939,0.019084534,0.559530447,0.842885077,1.091871974,0.722940527,0.052705236,0.00444363,0.657496539,0.201117173,0.214693172,0.252931079,0.146074491,3.27735097,0.00866057,0.004952185,1.300698913,2.010531691
c275940a59d0edc6adf9933fb87542f2,14,0.60630279,0.875728458,0.991079072,0.21606226,0.020068766,0.563296753,0.840655668,1.09538074,0.727929856,0.052876837,0.004494293,0.67270414,0.193452522,0.213777223,0.253475737,0.147281084,3.281561189,0.008734214,0.004916142,1.298929978,2.008362508
bfb2a9f2a7c963a621856042e700187a,14,0.613114991,0.873791845,0.980920158,0.215150175,0.020191262,0.559333809,0.846208411,1.099501801,0.732658688,0.051288855,0.004489834,0.667827896,0.188559616,0.215568847,0.254491962,0.143694,3.273374494,0.008707825,0.004896892,1.322538319,2.009865162
925f9cc08fc2c36d8e5ade2a787a6d91,14,0.611002533,0.877428398,0.983096347,0.216258209,0.020161032,0.567115289,0.852541866,1.097029357,0.733586289,0.051303735,0.004467828,0.681369972,0.187311034,0.2147665,0.254299626,0.143890972,3.285942289,0.008664556,0.004935395,1.309830326,2.012363782
df21d1ed40404ccdf55fdc80aa6d3146,14,0.610500937,0.927953482,0.990052041,0.21612232,0.018017249,0.570236042,0.845647601,1.09654487,0.729256221,0.051615998,0.004583109,0.656485672,0.18813718,0.21449519,0.253559688,0.143192835,3.297718147,0.008617054,0.004917887,1.38173903,2.004331288
fdfc35769e2f6443ac32bd48207ee85c,14,0.598635507,0.885048349,0.952707337,0.221270197,0.01681471,0.576150735,0.840388484,1.091527409,0.717398828,0.052006097,0.004523016,0.685909829,0.205537757,0.214512289,0.252072591,0.145331311,3.284639142,0.008653493,0.005010558,1.304101691,2.012117787
e1c49ee75584d30bc4ef8a2994878d67,14,0.612752979,0.878466222,0.978561304,0.215490347,0.020194951,0.560081643,0.845957865,1.100244975,0.731610604,0.050933987,0.004484847,0.662807168,0.187172557,0.215437064,0.254577423,0.143400558,3.279006138,0.008673691,0.004901636,1.337255179,2.009920407
b31bab35296502ad2f7478534bd1d2db,14,0.610518621,0.963967875,0.977225157,0.21771241,0.018060292,0.571490377,0.834048532,1.098541372,0.733902739,0.052701769,0.004571092,0.658760615,0.192940878,0.214550585,0.253793551,0.144204997,3.283955532,0.008569728,0.005054792,1.383545513,2.003523847
d962d8eed73d6cb477504f1eb3a0cd82,14,0.605830167,0.871405454,0.991999001,0.215225884,0.020299932,0.564272746,0.841376292,1.092872716,0.724551574,0.052185929,0.004454702,0.674791246,0.197546599,0.213648983,0.253239409,0.147127178,3.272481891,0.008812044,0.004935802,1.315577939,2.011569514
78f745fd0c05a988a08f7c0e3881ab43,14,0.596700446,0.862507694,0.967657318,0.220862661,0.01678324,0.576039945,0.839971814,1.089133112,0.713558336,0.052637842,0.004540256,0.681013078,0.210412733,0.214246711,0.251556463,0.147095624,3.285221278,0.008708955,0.004994193,1.297574034,2.014308704
aec7abe15f63fa675e6f2a98ad1c1482,14,0.604142269,0.948758462,1.00587008,0.219829058,0.02029704,0.584444551,0.826807851,1.098271533,0.724199337,0.053257425,0.004573151,0.624185221,0.198653702,0.214707635,0.254769544,0.14094993,3.278617378,0.008329419,0.005138816,1.383747769,1.990770319
b55a06ad6c4d24cc222332e987f09873,14,0.609523,0.856835137,0.977605844,0.220292788,0.021387674,0.537763866,0.842032118,1.083292448,0.711288059,0.053162654,0.004483398,0.665066859,0.190608026,0.21412851,0.251284694,0.147976522,3.335234224,0.00919738,0.004826342,1.271213752,2.017037502
d90b885344b23e71dc8511d0fa6ba80c,14,0.602104797,0.913230765,1.022797623,0.223454168,0.016694801,0.598723993,0.808859473,1.091568387,0.711399319,0.052047892,0.004769257,0.60522873,0.208099315,0.217383464,0.253509961,0.142627118,3.237839571,0.008331938,0.004965019,1.369986788,2.000648974
10389152e0fa1ffeef8566072b9a7984,14,0.606473144,0.961050123,0.955329733,0.219360216,0.019771956,0.582260912,0.830234278,1.102327956,0.714247146,0.051414164,0.004611479,0.623342541,0.193861166,0.214099895,0.254460557,0.141664028,3.254470838,0.008525872,0.005138229,1.335549233,2.004469488
5247c320deeb958b83881eee38b2a2f0,14,0.604743246,0.860926873,0.984923336,0.21729628,0.019576723,0.560491644,0.84010079,1.090248049,0.72224153,0.051897031,0.004444036,0.652544985,0.20041129,0.214764477,0.252918032,0.146410067,3.288196997,0.008707064,0.004969401,1.312464139,2.009029862
